AB,State,Cases_2010,Cases_2011,Cases_2012,Cases_2013,Cases_2014,Cases_2015,Cases_2016,Cases_2017,TotalByState,Rate_2010,Rate_2011,Rate_2012,Rate_2013,Rate_2014,Rate_2015,Rate_2016,Rate_2017
AL,Alabama,2,0,7,0,2,5,9,26,51,0.000647783,0,0.002267239,0,0.000647783,0.001619457,0.002915022,0.008421174
AK,Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,Arizona,58,20,10,2,24,35,19,18,186,0.018785697,0.006477826,0.003238913,0.000647783,0.007773392,0.011336196,0.006153935,0.005830044
AR,Arkansas,1,0,2,0,2,2,3,3,13,0.000323891,0,0.000647783,0,0.000647783,0.000647783,0.000971674,0.000971674
CA,California,38,45,135,6,251,186,89,133,883,0.01230787,0.014575109,0.043725328,0.001943348,0.081296721,0.060243786,0.028826328,0.043077546
CO,Colorado,55,5,228,5,69,44,90,39,535,0.017814023,0.001619457,0.073847221,0.001619457,0.022348501,0.014251218,0.029150219,0.012631761
CT,Connecticut,1,1,3,0,3,2,0,1,11,0.000323891,0.000323891,0.000971674,0,0.000971674,0.000647783,0,0.000323891
DE,Delaware,2,0,7,0,0,6,0,1,16,0.000647783,0,0.002267239,0,0,0.001943348,0,0.000323891
DC,District of Columbia,1,10,2,1,2,1,0,3,20,0.000323891,0.003238913,0.000647783,0.000323891,0.000647783,0.000323891,0,0.000971674
FL,Florida,3,3,1,0,4,0,1,0,12,0.000971674,0.000971674,0.000323891,0,0.001295565,0,0.000323891,0
GA,Georgia,9,5,4,0,2,2,1,7,30,0.002915022,0.001619457,0.001295565,0,0.000647783,0.000647783,0.000323891,0.002267239
HI,Hawaii,10,0,0,0,0,0,0,0,10,0.003238913,0,0,0,0,0,0,0
ID,Idaho,1,1,26,0,13,8,5,11,65,0.000323891,0.000323891,0.008421174,0,0.004210587,0.002591131,0.001619457,0.003562805
IL,Illinois,17,12,31,0,13,28,152,20,273,0.005506152,0.003886696,0.010040631,0,0.004210587,0.009068957,0.049231481,0.006477826
IN,Indiana,7,2,4,0,1,5,3,10,32,0.002267239,0.000647783,0.001295565,0,0.000323891,0.001619457,0.000971674,0.003238913
IA,Iowa,4,4,20,3,10,10,23,2,76,0.001295565,0.001295565,0.006477826,0.000971674,0.003238913,0.003238913,0.0074495,0.000647783
KS,Kansas,14,0,52,0,33,21,19,15,154,0.004534478,0,0.016842349,0,0.010688414,0.006801718,0.006153935,0.00485837
KY,Kentucky,1,1,2,0,1,0,0,2,7,0.000323891,0.000323891,0.000647783,0,0.000323891,0,0,0.000647783
LA,Louisiana,6,4,20,4,54,7,20,11,126,0.001943348,0.001295565,0.006477826,0.001295565,0.017490131,0.002267239,0.006477826,0.003562805
ME,Maine,8,0,0,0,0,0,0,0,8,0.002591131,0,0,0,0,0,0,0
MD,Maryland,6,9,5,0,1,15,3,2,41,0.001943348,0.002915022,0.001619457,0,0.000323891,0.00485837,0.000971674,0.000647783
MA,Massachusetts,1,1,1,0,1,3,6,1,14,0.000323891,0.000323891,0.000323891,0,0.000323891,0.000971674,0.001943348,0.000323891
MI,Michigan,4,1,12,0,0,2,1,8,28,0.001295565,0.000323891,0.003886696,0,0,0.000647783,0.000323891,0.002591131
MN,Minnesota,4,1,48,1,15,4,55,14,142,0.001295565,0.000323891,0.015546783,0.000323891,0.00485837,0.001295565,0.017814023,0.004534478
MS,Mississippi,6,22,18,4,17,13,15,17,112,0.001943348,0.007125609,0.005830044,0.001295565,0.005506152,0.004210587,0.00485837,0.005506152
MO,Missouri,41,4,5,0,1,11,2,1,65,0.013279544,0.001295565,0.001619457,0,0.000323891,0.003562805,0.000647783,0.000323891
MT,Montana,0,0,28,0,2,1,3,8,42,0,0,0.009068957,0,0.000647783,0.000323891,0.000971674,0.002591131
NE,Nebraska,27,15,168,4,99,51,60,48,472,0.008745066,0.00485837,0.054413742,0.001295565,0.032065241,0.016518457,0.019433479,0.015546783
NV,Nevada,2,4,3,0,0,3,3,29,44,0.000647783,0.001295565,0.000971674,0,0,0.000971674,0.000971674,0.009392848
NH,New Hampshire,3,0,0,0,0,0,0,1,4,0.000971674,0,0,0,0,0,0,0.000323891
NJ,New Jersey,15,5,2,0,2,3,0,2,29,0.00485837,0.001619457,0.000647783,0,0.000647783,0.000971674,0,0.000647783
NM,New Mexico,4,0,14,0,5,2,0,10,35,0.001295565,0,0.004534478,0,0.001619457,0.000647783,0,0.003238913
NY,New York,0,0,0,0,9,15,14,35,73,0,0,0,0,0.002915022,0.00485837,0.004534478,0.011336196
NC,North Carolina,140,0,1,0,0,0,0,1,142,0.045344785,0,0.000323891,0,0,0,0,0.000323891
ND,North Dakota,7,3,63,0,10,13,54,42,192,0.002267239,0.000971674,0.020405153,0,0.003238913,0.004210587,0.017490131,0.013603435
OH,Ohio,1,11,4,0,1,12,5,11,45,0.000323891,0.003562805,0.001295565,0,0.000323891,0.003886696,0.001619457,0.003562805
OK,Oklahoma,12,0,26,0,9,40,13,13,113,0.003886696,0,0.008421174,0,0.002915022,0.012955653,0.004210587,0.004210587
OR,Oregon,6,0,1,0,1,0,1,5,14,0.001943348,0,0.000323891,0,0.000323891,0,0.000323891,0.001619457
PA,Pennsylvania,9,1,5,0,1,13,5,6,40,0.002915022,0.000323891,0.001619457,0,0.000323891,0.004210587,0.001619457,0.001943348
RI,Rhode Island,9,0,2,0,0,0,0,1,12,0.002915022,0,0.000647783,0,0,0,0,0.000323891
SC,South Carolina,40,0,4,0,0,0,2,3,49,0.012955653,0,0.001295565,0,0,0,0.000647783,0.000971674
SD,South Dakota,16,2,92,11,45,29,116,46,357,0.005182261,0.000647783,0.029798001,0.003562805,0.014575109,0.009392848,0.037571393,0.014899001
TN,Tennessee,2,2,7,0,4,1,3,12,31,0.000647783,0.000647783,0.002267239,0,0.001295565,0.000323891,0.000971674,0.003886696
TX,Texas,12,7,65,1,118,70,112,48,433,0.003886696,0.002267239,0.021052936,0.000323891,0.038219176,0.022672392,0.036275828,0.015546783
UT,Utah,1,2,3,0,1,3,6,24,40,0.000323891,0.000647783,0.000971674,0,0.000323891,0.000971674,0.001943348,0.007773392
VT,Vermont,2,0,1,0,0,0,1,1,5,0.000647783,0,0.000323891,0,0,0,0.000323891,0.000323891
VA,Virginia,2,0,10,0,2,7,6,1,28,0.000647783,0,0.003238913,0,0.000647783,0.002267239,0.001943348,0.000323891
WA,Washington,1,0,1,0,5,16,1,3,27,0.000323891,0,0.000323891,0,0.001619457,0.005182261,0.000323891,0.000971674
WV,West Virginia,0,0,4,0,0,0,1,0,5,0,0,0.001295565,0,0,0,0.000323891,0
WI,Wisconsin,2,1,4,1,3,4,4,8,27,0.000647783,0.000323891,0.001295565,0.000323891,0.000971674,0.001295565,0.001295565,0.002591131
WY,Wyoming,4,2,25,0,5,5,3,3,47,0.001295565,0.000647783,0.008097283,0,0.001619457,0.001619457,0.000971674,0.000971674
TotalByYear,TotalByYear,617,206,1176,43,841,698,929,706,5216,0.199840945,0.066721612,0.380896193,0.013927327,0.272392601,0.226076142,0.300895037,0.228667272
